Age,Attrition,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,EmployeeSalary,EmployeeRevenue,PercentSalaryHike,PerformanceRating,StandardHours,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,Age<=25,Age>=55,ROI
41,Yes,Sales,1,Undergraduate,Life Sciences,1,Neutral,Female,Junior,Sales Executive,Very Satisfied,Single,5993,19479,11,3,40,0,1,6,False,False,1947800.0
49,No,Research & Development,8,High School,Life Sciences,2,Satisfied,Male,Junior,Research Scientist,Neutral,Married,5130,24907,23,4,40,3,3,10,False,False,2490600.0
37,Yes,Research & Development,2,Undergraduate,Other,4,Very Satisfied,Male,Entry-Level,Laboratory Technician,Satisfied,Single,2090,2396,15,3,40,3,3,0,False,False,239500.0
33,No,Research & Development,3,Professional Certification,Life Sciences,5,Very Satisfied,Female,Entry-Level,Research Scientist,Satisfied,Married,2909,23159,11,3,40,3,3,8,False,False,2315800.0
27,No,Research & Development,2,High School,Medical,7,Dissatisfied,Male,Entry-Level,Laboratory Technician,Neutral,Married,3468,16632,12,3,40,3,3,2,False,False,1663100.0
32,No,Research & Development,2,Undergraduate,Life Sciences,8,Very Satisfied,Male,Entry-Level,Laboratory Technician,Very Satisfied,Single,3068,11864,13,3,40,2,2,7,False,False,1186300.0
59,No,Research & Development,3,Postgraduate,Medical,10,Satisfied,Female,Entry-Level,Laboratory Technician,Dissatisfied,Married,2670,9964,20,4,40,3,2,1,False,True,996300.0
30,No,Research & Development,24,High School,Life Sciences,11,Very Satisfied,Male,Entry-Level,Laboratory Technician,Satisfied,Divorced,2693,13335,22,4,40,2,3,1,False,False,1333400.0
38,No,Research & Development,23,Postgraduate,Life Sciences,12,Very Satisfied,Male,Mid-level,Manufacturing Director,Satisfied,Single,9526,8787,21,4,40,2,3,9,False,False,878600.0
36,No,Research & Development,27,Postgraduate,Medical,13,Satisfied,Male,Junior,Healthcare Representative,Satisfied,Married,5237,16577,13,3,40,3,2,7,False,False,1657600.0
35,No,Research & Development,16,Postgraduate,Medical,14,Dissatisfied,Male,Entry-Level,Laboratory Technician,Neutral,Married,2426,16479,13,3,40,5,3,5,False,False,1647800.0
29,No,Research & Development,15,Undergraduate,Life Sciences,15,Very Satisfied,Female,Junior,Laboratory Technician,Satisfied,Single,4193,12682,12,3,40,3,3,9,False,False,1268100.0
31,No,Research & Development,26,High School,Life Sciences,16,Dissatisfied,Male,Entry-Level,Research Scientist,Satisfied,Divorced,2911,15170,17,3,40,1,2,5,False,False,1516900.0
34,No,Research & Development,19,Undergraduate,Medical,18,Neutral,Male,Entry-Level,Laboratory Technician,Very Satisfied,Divorced,2661,8758,11,3,40,2,3,2,False,False,875700.0
28,Yes,Research & Development,24,Postgraduate,Life Sciences,19,Satisfied,Male,Entry-Level,Laboratory Technician,Satisfied,Single,2028,12947,14,3,40,4,3,4,False,False,1294600.0
29,No,Research & Development,21,Professional Certification,Life Sciences,20,Neutral,Female,Mid-level,Manufacturing Director,Dissatisfied,Divorced,9980,10195,11,3,40,1,3,10,False,False,1019400.0
32,No,Research & Development,5,Undergraduate,Life Sciences,21,Dissatisfied,Male,Entry-Level,Research Scientist,Neutral,Divorced,3298,15053,12,3,40,5,2,6,False,False,1505200.0
22,No,Research & Development,16,Undergraduate,Medical,22,Very Satisfied,Male,Entry-Level,Laboratory Technician,Very Satisfied,Divorced,2935,7324,13,3,40,2,2,1,True,False,732300.0
53,No,Sales,2,Professional Certification,Life Sciences,23,Dissatisfied,Female,Senior,Manager,Very Satisfied,Married,15427,22021,16,3,40,3,3,25,False,False,2202000.0
38,No,Research & Development,2,Postgraduate,Life Sciences,24,Very Satisfied,Male,Entry-Level,Research Scientist,Very Satisfied,Single,3944,4306,11,3,40,3,3,3,False,False,430500.0
24,No,Research & Development,11,Undergraduate,Other,26,Dissatisfied,Female,Junior,Manufacturing Director,Satisfied,Divorced,4011,8232,18,3,40,5,2,4,True,False,823100.0
36,Yes,Sales,9,Professional Certification,Life Sciences,27,Satisfied,Male,Entry-Level,Sales Representative,Dissatisfied,Single,3407,6986,23,4,40,4,3,5,False,False,698500.0
34,No,Research & Development,7,Professional Certification,Life Sciences,28,Dissatisfied,Female,Mid-level,Research Director,Neutral,Single,11994,21293,11,3,40,4,3,12,False,False,2129200.0
21,No,Research & Development,15,Undergraduate,Life Sciences,30,Satisfied,Male,Entry-Level,Research Scientist,Very Satisfied,Single,1232,19281,14,3,40,6,3,0,True,False,1928000.0
34,Yes,Research & Development,6,High School,Medical,31,Neutral,Male,Entry-Level,Research Scientist,Dissatisfied,Single,2960,17102,11,3,40,2,3,4,False,False,1710100.0
53,No,Research & Development,5,Postgraduate,Other,32,Satisfied,Female,Executive,Manager,Satisfied,Divorced,19094,10735,11,3,40,3,2,14,False,False,1073400.0
32,Yes,Research & Development,16,High School,Life Sciences,33,Neutral,Female,Entry-Level,Research Scientist,Dissatisfied,Single,3919,4681,22,4,40,5,3,10,False,False,468000.0
42,No,Sales,8,Professional Certification,Marketing,35,Satisfied,Male,Junior,Sales Executive,Neutral,Married,6825,21173,11,3,40,2,3,9,False,False,2117200.0
44,No,Research & Development,7,Professional Certification,Medical,36,Dissatisfied,Female,Mid-level,Healthcare Representative,Very Satisfied,Married,10248,2094,14,3,40,4,3,22,False,False,209300.0
46,No,Sales,2,Professional Certification,Marketing,38,Neutral,Female,Executive,Manager,Dissatisfied,Single,18947,22822,12,3,40,2,2,2,False,False,2282100.0
33,No,Research & Development,2,Postgraduate,Medical,39,Satisfied,Male,Entry-Level,Laboratory Technician,Very Satisfied,Single,2496,6670,11,3,40,3,3,1,False,False,666900.0
44,No,Research & Development,10,Professional Certification,Other,40,Very Satisfied,Male,Junior,Healthcare Representative,Very Satisfied,Married,6465,19121,13,3,40,5,4,4,False,False,1912000.0
30,No,Research & Development,9,Undergraduate,Medical,41,Very Satisfied,Male,Entry-Level,Laboratory Technician,Satisfied,Single,2206,16117,13,3,40,5,3,10,False,False,1611600.0
39,Yes,Sales,5,Postgraduate,Technical Degree,42,Very Satisfied,Male,Junior,Sales Representative,Very Satisfied,Married,2086,3335,14,3,40,6,4,1,False,False,333400.0
24,Yes,Research & Development,1,Postgraduate,Medical,45,Neutral,Male,Entry-Level,Research Scientist,Very Satisfied,Married,2293,3020,16,3,40,2,2,2,True,False,301900.0
43,No,Research & Development,2,Undergraduate,Medical,46,Very Satisfied,Female,Entry-Level,Research Scientist,Satisfied,Divorced,2645,21923,12,3,40,3,2,5,False,False,2192200.0
50,Yes,Sales,3,Undergraduate,Marketing,47,Dissatisfied,Male,Entry-Level,Sales Representative,Satisfied,Married,2683,3810,14,3,40,2,3,3,False,False,380900.0
35,No,Sales,2,Postgraduate,Marketing,49,Very Satisfied,Female,Entry-Level,Sales Representative,Very Satisfied,Married,2014,9687,13,3,40,3,3,2,False,False,968600.0
36,No,Research & Development,5,Professional Certification,Life Sciences,51,Neutral,Female,Entry-Level,Research Scientist,Dissatisfied,Married,3419,13072,14,3,40,3,4,1,False,False,1307100.0
33,No,Sales,1,Postgraduate,Life Sciences,52,Satisfied,Female,Junior,Sales Executive,Dissatisfied,Married,5376,3193,19,3,40,3,3,5,False,False,319200.0
35,No,Research & Development,4,Undergraduate,Other,53,Satisfied,Male,Entry-Level,Laboratory Technician,Very Satisfied,Divorced,1951,10910,12,3,40,3,3,1,False,False,1090900.0
27,No,Research & Development,2,Professional Certification,Life Sciences,54,Very Satisfied,Female,Entry-Level,Laboratory Technician,Dissatisfied,Divorced,2341,19715,13,3,40,6,3,1,False,False,1971400.0
26,Yes,Research & Development,25,Postgraduate,Life Sciences,55,Dissatisfied,Male,Entry-Level,Laboratory Technician,Satisfied,Single,2293,10558,12,3,40,2,2,1,False,False,1055700.0
27,No,Sales,8,Postgraduate,Life Sciences,56,Very Satisfied,Male,Mid-level,Sales Executive,Satisfied,Single,8726,2975,15,3,40,0,3,9,False,False,297400.0
